# SOURCE: Synthetic data based on Egyptian Electricity Holding Company tariff trends
# DATE: 2026-02-06
# DESCRIPTION: Monthly electricity prices for agricultural users in Egypt
# UNITS: usd_per_kwh (USD per kilowatt-hour), egp_per_kwh_original (Egyptian Pounds)
# LOGIC: Base rates follow Egyptian subsidy removal program 2015-2024, peak/off-peak differential 1.25/0.75
# DEPENDENCIES: None
# ASSUMPTIONS: Agricultural tariff category, gradual subsidy removal reflected in rising EGP prices
# GENERATION_METHOD: Annual EGP base rates with monthly variation, USD conversion at historical rates
# CURRENCY: Primary USD, original EGP documented with exchange rates
# EXCHANGE_RATE_SOURCE: Central Bank of Egypt historical averages
date,usd_per_kwh_offpeak,usd_per_kwh_peak,usd_per_kwh_avg_daily,rate_schedule,egp_per_kwh_original,usd_egp_exchange_rate
2018-04-01,0.0633,0.0857,0.0745,standard,1.3282,17.83
2018-05-01,0.0652,0.0882,0.0767,standard,1.367,17.83
2018-06-01,0.066,0.0892,0.0776,summer,1.3835,17.83
2018-07-01,0.0659,0.0891,0.0775,summer,1.3818,17.83
2018-08-01,0.0654,0.0885,0.0769,summer,1.3714,17.83
2018-09-01,0.0651,0.0881,0.0766,summer,1.3661,17.83
2018-10-01,0.0645,0.0873,0.0759,standard,1.3538,17.83
2018-11-01,0.0608,0.0822,0.0715,standard,1.2751,17.83
2018-12-01,0.0596,0.0807,0.0701,standard,1.2505,17.83
2019-01-01,0.0606,0.082,0.0713,standard,1.1802,16.55
2019-02-01,0.0631,0.0854,0.0743,standard,1.229,16.55
2019-03-01,0.0653,0.0884,0.0768,standard,1.2715,16.55
2019-04-01,0.0664,0.0898,0.0781,standard,1.2926,16.55
2019-05-01,0.0668,0.0904,0.0786,standard,1.3003,16.55
2019-06-01,0.0693,0.0937,0.0815,summer,1.349,16.55
2019-07-01,0.0705,0.0954,0.0829,summer,1.3725,16.55
2019-08-01,0.0704,0.0953,0.0829,summer,1.3712,16.55
2019-09-01,0.0667,0.0902,0.0784,summer,1.298,16.55
2019-10-01,0.0656,0.0887,0.0771,standard,1.2768,16.55
2019-11-01,0.0636,0.0861,0.0748,standard,1.2387,16.55
2019-12-01,0.0652,0.0882,0.0767,standard,1.2695,16.55
2020-01-01,0.0643,0.087,0.0757,standard,1.1928,15.76
2020-02-01,0.0687,0.093,0.0809,standard,1.2743,15.76
2020-03-01,0.0659,0.0891,0.0775,standard,1.2213,15.76
2020-04-01,0.0709,0.0959,0.0834,standard,1.3141,15.76
2020-05-01,0.0739,0.1,0.0869,standard,1.3702,15.76
2020-06-01,0.0744,0.1007,0.0876,summer,1.3801,15.76
2020-07-01,0.0798,0.108,0.0939,summer,1.4802,15.76
2020-08-01,0.0736,0.0996,0.0866,summer,1.3654,15.76
2020-09-01,0.0692,0.0937,0.0815,summer,1.284,15.76
2020-10-01,0.0697,0.0943,0.082,standard,1.2925,15.76
2020-11-01,0.0652,0.0882,0.0767,standard,1.2091,15.76
2020-12-01,0.0685,0.0927,0.0806,standard,1.2704,15.76
2021-01-01,0.0677,0.0916,0.0797,standard,1.2477,15.66
2021-02-01,0.073,0.0988,0.0859,standard,1.3455,15.66
2021-03-01,0.072,0.0974,0.0847,standard,1.3264,15.66
2021-04-01,0.0751,0.1016,0.0883,standard,1.3831,15.66
2021-05-01,0.0755,0.1022,0.0889,standard,1.3915,15.66
2021-06-01,0.0819,0.1108,0.0963,summer,1.5082,15.66
2021-07-01,0.0769,0.104,0.0904,summer,1.4163,15.66
2021-08-01,0.0808,0.1093,0.095,summer,1.4882,15.66
2021-09-01,0.0768,0.1039,0.0904,summer,1.4155,15.66
2021-10-01,0.0745,0.1008,0.0876,standard,1.3722,15.66
2021-11-01,0.0731,0.0989,0.086,standard,1.3472,15.66
2021-12-01,0.073,0.0987,0.0858,standard,1.3441,15.66
2022-01-01,0.0687,0.0929,0.0808,standard,1.5482,19.16
2022-02-01,0.074,0.1001,0.087,standard,1.6672,19.16
2022-03-01,0.0787,0.1065,0.0926,standard,1.7751,19.16
2022-04-01,0.0789,0.1068,0.0928,standard,1.7788,19.16
2022-05-01,0.0773,0.1046,0.091,standard,1.7435,19.16
2022-06-01,0.0815,0.1102,0.0958,summer,1.8361,19.16
2022-07-01,0.0855,0.1157,0.1006,summer,1.9281,19.16
2022-08-01,0.0833,0.1126,0.098,summer,1.8768,19.16
2022-09-01,0.0785,0.1061,0.0923,summer,1.7684,19.16
2022-10-01,0.0791,0.107,0.0931,standard,1.7835,19.16
2022-11-01,0.0749,0.1014,0.0882,standard,1.6892,19.16
2022-12-01,0.0717,0.097,0.0843,standard,1.6154,19.16
2023-01-01,0.0742,0.1004,0.0873,standard,2.694,30.85
2023-02-01,0.0818,0.1106,0.0962,standard,2.9674,30.85
2023-03-01,0.0797,0.1079,0.0938,standard,2.8941,30.85
2023-04-01,0.0821,0.1111,0.0966,standard,2.9802,30.85
2023-05-01,0.0837,0.1133,0.0985,standard,3.0395,30.85
2023-06-01,0.0902,0.1221,0.1062,summer,3.2752,30.85
2023-07-01,0.0893,0.1208,0.105,summer,3.2406,30.85
2023-08-01,0.0895,0.1211,0.1053,summer,3.2496,30.85
2023-09-01,0.0818,0.1107,0.0962,summer,2.9691,30.85
2023-10-01,0.0812,0.1098,0.0955,standard,2.9453,30.85
2023-11-01,0.0756,0.1023,0.089,standard,2.7442,30.85
2023-12-01,0.0824,0.1115,0.097,standard,2.9922,30.85
2024-01-01,0.077,0.1042,0.0906,standard,4.3932,48.5
2024-02-01,0.0821,0.1111,0.0966,standard,4.6867,48.5
2024-03-01,0.0812,0.1099,0.0956,standard,4.6352,48.5
2024-04-01,0.0849,0.1148,0.0999,standard,4.8432,48.5
2024-05-01,0.086,0.1164,0.1012,standard,4.9097,48.5
2024-06-01,0.0875,0.1184,0.103,summer,4.9937,48.5
2024-07-01,0.0875,0.1183,0.1029,summer,4.9899,48.5
2024-08-01,0.0862,0.1166,0.1014,summer,4.9182,48.5
2024-09-01,0.0879,0.119,0.1035,summer,5.018,48.5
2024-10-01,0.0812,0.1098,0.0955,standard,4.6312,48.5
2024-11-01,0.0832,0.1126,0.0979,standard,4.7476,48.5
2024-12-01,0.0854,0.1155,0.1004,standard,4.8714,48.5
