# SOURCE: Computed from weather data using simplified PV model
# DATE: 2026-02-06
# DESCRIPTION: Normalized daily PV power output per kW of installed capacity for three agri-PV density variants (low/medium/high ground coverage)
# UNITS: date=YYYY-MM-DD, density_variant=text, kwh_per_kw_per_day=kWh/kW/day, capacity_factor=dimensionless(0-1)
# LOGIC: PV output = solar_irradiance * tilt_factor(1.05) * temp_factor * (1-system_losses). Temp factor uses cell temp model: T_cell = T_avg + 25C + density_adjustment. Temperature coefficient = -0.4%/C from 25C reference. System losses = 15%.
# DEPENDENCIES: data/precomputed/weather/daily_weather_scenario_001-toy.csv
# ASSUMPTIONS: Fixed-tilt 28deg south-facing panels. Module efficiency ~19%. High density panels run 2C cooler (shading effect), low density run 2C hotter. All panels receive full irradiance (panels above crops, not shaded by each other). Tilt factor approximate; full pvlib model would be more accurate.
weather_scenario_id,date,density_variant,kwh_per_kw_per_day,capacity_factor
001,2010-03-07,low,4.1005,0.1709
001,2010-03-07,medium,4.1367,0.1724
001,2010-03-07,high,4.1729,0.1739
001,2010-03-08,low,4.1994,0.175
001,2010-03-08,medium,4.2365,0.1765
001,2010-03-08,high,4.2736,0.1781
001,2010-03-09,low,3.9416,0.1642
001,2010-03-09,medium,3.9769,0.1657
001,2010-03-09,high,4.0121,0.1672
001,2010-03-10,low,4.1566,0.1732
001,2010-03-10,medium,4.1931,0.1747
001,2010-03-10,high,4.2296,0.1762
001,2010-03-11,low,3.886,0.1619
001,2010-03-11,medium,3.9202,0.1633
001,2010-03-11,high,3.9544,0.1648
001,2010-03-12,low,4.1672,0.1736
001,2010-03-12,medium,4.2039,0.1752
001,2010-03-12,high,4.2406,0.1767
001,2010-03-13,low,4.3435,0.181
001,2010-03-13,medium,4.3823,0.1826
001,2010-03-13,high,4.4211,0.1842
001,2010-03-14,low,4.7906,0.1996
001,2010-03-14,medium,4.8333,0.2014
001,2010-03-14,high,4.876,0.2032
001,2010-03-15,low,4.0395,0.1683
001,2010-03-15,medium,4.0752,0.1698
001,2010-03-15,high,4.1109,0.1713
001,2010-03-16,low,4.2859,0.1786
001,2010-03-16,medium,4.3241,0.1802
001,2010-03-16,high,4.3623,0.1818
001,2010-03-17,low,4.0986,0.1708
001,2010-03-17,medium,4.1349,0.1723
001,2010-03-17,high,4.1712,0.1738
001,2010-03-18,low,4.2908,0.1788
001,2010-03-18,medium,4.3292,0.1804
001,2010-03-18,high,4.3676,0.182
001,2010-03-19,low,4.3437,0.181
001,2010-03-19,medium,4.382,0.1826
001,2010-03-19,high,4.4202,0.1842
001,2010-03-20,low,4.6069,0.192
001,2010-03-20,medium,4.6477,0.1937
001,2010-03-20,high,4.6885,0.1954
001,2010-03-21,low,4.6645,0.1944
001,2010-03-21,medium,4.7057,0.1961
001,2010-03-21,high,4.747,0.1978
001,2010-03-22,low,4.5355,0.189
001,2010-03-22,medium,4.5752,0.1906
001,2010-03-22,high,4.6149,0.1923
001,2010-03-23,low,4.4287,0.1845
001,2010-03-23,medium,4.4679,0.1862
001,2010-03-23,high,4.5072,0.1878
001,2010-03-24,low,4.7377,0.1974
001,2010-03-24,medium,4.7799,0.1992
001,2010-03-24,high,4.8221,0.2009
001,2010-03-25,low,4.5162,0.1882
001,2010-03-25,medium,4.5565,0.1899
001,2010-03-25,high,4.5968,0.1915
001,2010-03-26,low,4.8689,0.2029
001,2010-03-26,medium,4.912,0.2047
001,2010-03-26,high,4.9551,0.2065
001,2010-03-27,low,4.1978,0.1749
001,2010-03-27,medium,4.2348,0.1765
001,2010-03-27,high,4.2718,0.178
001,2010-03-28,low,4.9139,0.2047
001,2010-03-28,medium,4.9579,0.2066
001,2010-03-28,high,5.0019,0.2084
001,2010-03-29,low,4.4103,0.1838
001,2010-03-29,medium,4.4497,0.1854
001,2010-03-29,high,4.4891,0.187
001,2010-03-30,low,4.3362,0.1807
001,2010-03-30,medium,4.3749,0.1823
001,2010-03-30,high,4.4136,0.1839
001,2010-03-31,low,4.574,0.1906
001,2010-03-31,medium,4.6149,0.1923
001,2010-03-31,high,4.6558,0.194
001,2010-04-01,low,4.3234,0.1801
001,2010-04-01,medium,4.3624,0.1818
001,2010-04-01,high,4.4013,0.1834
001,2010-04-02,low,4.6674,0.1945
001,2010-04-02,medium,4.7098,0.1962
001,2010-04-02,high,4.7522,0.198
001,2010-04-03,low,4.5449,0.1894
001,2010-04-03,medium,4.5856,0.1911
001,2010-04-03,high,4.6263,0.1928
001,2010-04-04,low,4.7377,0.1974
001,2010-04-04,medium,4.7799,0.1992
001,2010-04-04,high,4.8221,0.2009
001,2010-04-05,low,4.4571,0.1857
001,2010-04-05,medium,4.4972,0.1874
001,2010-04-05,high,4.5373,0.1891
001,2010-04-06,low,4.7004,0.1958
001,2010-04-06,medium,4.7421,0.1976
001,2010-04-06,high,4.7838,0.1993
001,2010-04-07,low,4.731,0.1971
001,2010-04-07,medium,4.7734,0.1989
001,2010-04-07,high,4.8158,0.2007
001,2010-04-08,low,4.6796,0.195
001,2010-04-08,medium,4.7217,0.1967
001,2010-04-08,high,4.7637,0.1985
001,2010-04-09,low,4.933,0.2055
001,2010-04-09,medium,4.9783,0.2074
001,2010-04-09,high,5.0236,0.2093
001,2010-04-10,low,4.8637,0.2027
001,2010-04-10,medium,4.9075,0.2045
001,2010-04-10,high,4.9513,0.2063
001,2010-04-11,low,4.7725,0.1989
001,2010-04-11,medium,4.8158,0.2007
001,2010-04-11,high,4.859,0.2025
001,2010-04-12,low,4.4722,0.1863
001,2010-04-12,medium,4.5122,0.188
001,2010-04-12,high,4.5523,0.1897
001,2010-04-13,low,4.9136,0.2047
001,2010-04-13,medium,4.9576,0.2066
001,2010-04-13,high,5.0015,0.2084
001,2010-04-14,low,4.9849,0.2077
001,2010-04-14,medium,5.0303,0.2096
001,2010-04-14,high,5.0757,0.2115
001,2010-04-15,low,4.6778,0.1949
001,2010-04-15,medium,4.7203,0.1967
001,2010-04-15,high,4.7629,0.1985
001,2010-04-16,low,4.769,0.1987
001,2010-04-16,medium,4.8124,0.2005
001,2010-04-16,high,4.8559,0.2023
001,2010-04-17,low,4.3895,0.1829
001,2010-04-17,medium,4.4289,0.1845
001,2010-04-17,high,4.4682,0.1862
001,2010-04-18,low,4.6136,0.1922
001,2010-04-18,medium,4.6559,0.194
001,2010-04-18,high,4.6982,0.1958
001,2010-04-19,low,4.6111,0.1921
001,2010-04-19,medium,4.6523,0.1938
001,2010-04-19,high,4.6935,0.1956
001,2010-04-20,low,4.882,0.2034
001,2010-04-20,medium,4.9266,0.2053
001,2010-04-20,high,4.9712,0.2071
001,2010-04-21,low,4.7941,0.1998
001,2010-04-21,medium,4.8386,0.2016
001,2010-04-21,high,4.883,0.2035
001,2010-04-22,low,4.959,0.2066
001,2010-04-22,medium,5.0036,0.2085
001,2010-04-22,high,5.0482,0.2103
001,2010-04-23,low,4.9294,0.2054
001,2010-04-23,medium,4.9738,0.2072
001,2010-04-23,high,5.0181,0.2091
001,2010-04-24,low,5.1176,0.2132
001,2010-04-24,medium,5.1641,0.2152
001,2010-04-24,high,5.2106,0.2171
001,2010-04-25,low,4.7986,0.1999
001,2010-04-25,medium,4.8421,0.2018
001,2010-04-25,high,4.8857,0.2036
001,2010-04-26,low,5.0451,0.2102
001,2010-04-26,medium,5.0903,0.2121
001,2010-04-26,high,5.1356,0.214
001,2010-04-27,low,5.0752,0.2115
001,2010-04-27,medium,5.1216,0.2134
001,2010-04-27,high,5.1679,0.2153
001,2010-04-28,low,5.011,0.2088
001,2010-04-28,medium,5.0564,0.2107
001,2010-04-28,high,5.1019,0.2126
001,2010-04-29,low,4.9729,0.2072
001,2010-04-29,medium,5.0186,0.2091
001,2010-04-29,high,5.0643,0.211
001,2010-04-30,low,4.9637,0.2068
001,2010-04-30,medium,5.0087,0.2087
001,2010-04-30,high,5.0536,0.2106
001,2010-05-01,low,4.9454,0.2061
001,2010-05-01,medium,4.9911,0.208
001,2010-05-01,high,5.0368,0.2099
001,2010-05-02,low,5.2425,0.2184
001,2010-05-02,medium,5.2897,0.2204
001,2010-05-02,high,5.3368,0.2224
001,2010-05-03,low,4.8304,0.2013
001,2010-05-03,medium,4.8743,0.2031
001,2010-05-03,high,4.9183,0.2049
001,2010-05-04,low,5.0347,0.2098
001,2010-05-04,medium,5.081,0.2117
001,2010-05-04,high,5.1274,0.2136
001,2010-05-05,low,5.0752,0.2115
001,2010-05-05,medium,5.1212,0.2134
001,2010-05-05,high,5.1672,0.2153
001,2010-05-06,low,5.0922,0.2122
001,2010-05-06,medium,5.1389,0.2141
001,2010-05-06,high,5.1855,0.2161
001,2010-05-07,low,5.2809,0.22
001,2010-05-07,medium,5.3299,0.2221
001,2010-05-07,high,5.3788,0.2241
001,2010-05-08,low,5.1837,0.216
001,2010-05-08,medium,5.2302,0.2179
001,2010-05-08,high,5.2768,0.2199
001,2010-05-09,low,5.324,0.2218
001,2010-05-09,medium,5.3728,0.2239
001,2010-05-09,high,5.4216,0.2259
001,2010-05-10,low,5.2601,0.2192
001,2010-05-10,medium,5.3086,0.2212
001,2010-05-10,high,5.3571,0.2232
001,2010-05-11,low,5.1018,0.2126
001,2010-05-11,medium,5.1493,0.2146
001,2010-05-11,high,5.1968,0.2165
001,2010-05-12,low,5.2434,0.2185
001,2010-05-12,medium,5.291,0.2205
001,2010-05-12,high,5.3386,0.2224
001,2010-05-13,low,5.2598,0.2192
001,2010-05-13,medium,5.3076,0.2212
001,2010-05-13,high,5.3555,0.2231
001,2010-05-14,low,5.0569,0.2107
001,2010-05-14,medium,5.1038,0.2127
001,2010-05-14,high,5.1507,0.2146
001,2010-05-15,low,5.2662,0.2194
001,2010-05-15,medium,5.3147,0.2214
001,2010-05-15,high,5.3632,0.2235
001,2010-05-16,low,5.1285,0.2137
001,2010-05-16,medium,5.1759,0.2157
001,2010-05-16,high,5.2234,0.2176
001,2010-05-17,low,5.2166,0.2174
001,2010-05-17,medium,5.2647,0.2194
001,2010-05-17,high,5.3128,0.2214
001,2010-05-18,low,5.0172,0.209
001,2010-05-18,medium,5.0633,0.211
001,2010-05-18,high,5.1094,0.2129
001,2010-05-19,low,5.1315,0.2138
001,2010-05-19,medium,5.179,0.2158
001,2010-05-19,high,5.2265,0.2178
001,2010-05-20,low,5.2773,0.2199
001,2010-05-20,medium,5.3262,0.2219
001,2010-05-20,high,5.3751,0.224
001,2010-05-21,low,5.1873,0.2161
001,2010-05-21,medium,5.2348,0.2181
001,2010-05-21,high,5.2823,0.2201
001,2010-05-22,low,5.1868,0.2161
001,2010-05-22,medium,5.2357,0.2182
001,2010-05-22,high,5.2846,0.2202
001,2010-05-23,low,5.1496,0.2146
001,2010-05-23,medium,5.1978,0.2166
001,2010-05-23,high,5.246,0.2186
001,2010-05-24,low,5.4399,0.2267
001,2010-05-24,medium,5.4895,0.2287
001,2010-05-24,high,5.5392,0.2308
001,2010-05-25,low,5.3639,0.2235
001,2010-05-25,medium,5.4138,0.2256
001,2010-05-25,high,5.4637,0.2277
001,2010-05-26,low,5.3381,0.2224
001,2010-05-26,medium,5.3871,0.2245
001,2010-05-26,high,5.4362,0.2265
001,2010-05-27,low,5.2311,0.218
001,2010-05-27,medium,5.2801,0.22
001,2010-05-27,high,5.3291,0.222
001,2010-05-28,low,5.2513,0.2188
001,2010-05-28,medium,5.3004,0.2208
001,2010-05-28,high,5.3495,0.2229
001,2010-05-29,low,5.3876,0.2245
001,2010-05-29,medium,5.4367,0.2265
001,2010-05-29,high,5.4858,0.2286
001,2010-05-30,low,5.3331,0.2222
001,2010-05-30,medium,5.3833,0.2243
001,2010-05-30,high,5.4335,0.2264
001,2010-05-31,low,5.4917,0.2288
001,2010-05-31,medium,5.5431,0.231
001,2010-05-31,high,5.5944,0.2331
001,2010-06-01,low,5.1862,0.2161
001,2010-06-01,medium,5.2345,0.2181
001,2010-06-01,high,5.2828,0.2201
001,2010-06-02,low,5.1492,0.2146
001,2010-06-02,medium,5.1978,0.2166
001,2010-06-02,high,5.2465,0.2186
001,2010-06-03,low,5.4178,0.2257
001,2010-06-03,medium,5.4684,0.2278
001,2010-06-03,high,5.5189,0.23
001,2010-06-04,low,5.2355,0.2181
001,2010-06-04,medium,5.2841,0.2202
001,2010-06-04,high,5.3328,0.2222
001,2010-06-05,low,5.2412,0.2184
001,2010-06-05,medium,5.2897,0.2204
001,2010-06-05,high,5.3383,0.2224
001,2010-06-06,low,5.5495,0.2312
001,2010-06-06,medium,5.6007,0.2334
001,2010-06-06,high,5.652,0.2355
001,2010-06-07,low,5.3117,0.2213
001,2010-06-07,medium,5.3612,0.2234
001,2010-06-07,high,5.4107,0.2254
001,2010-06-08,low,5.302,0.2209
001,2010-06-08,medium,5.3516,0.223
001,2010-06-08,high,5.4011,0.225
001,2010-06-09,low,5.2633,0.2193
001,2010-06-09,medium,5.3127,0.2214
001,2010-06-09,high,5.3621,0.2234
001,2010-06-10,low,5.3557,0.2232
001,2010-06-10,medium,5.4059,0.2252
001,2010-06-10,high,5.4561,0.2273
001,2010-06-11,low,5.2617,0.2192
001,2010-06-11,medium,5.3107,0.2213
001,2010-06-11,high,5.3597,0.2233
001,2010-06-12,low,5.3819,0.2242
001,2010-06-12,medium,5.433,0.2264
001,2010-06-12,high,5.4842,0.2285
001,2010-06-13,low,5.4113,0.2255
001,2010-06-13,medium,5.4618,0.2276
001,2010-06-13,high,5.5122,0.2297
001,2010-06-14,low,5.1719,0.2155
001,2010-06-14,medium,5.2217,0.2176
001,2010-06-14,high,5.2715,0.2196
001,2010-06-15,low,5.2822,0.2201
001,2010-06-15,medium,5.3318,0.2222
001,2010-06-15,high,5.3813,0.2242
001,2010-06-16,low,5.3968,0.2249
001,2010-06-16,medium,5.4468,0.227
001,2010-06-16,high,5.4969,0.229
001,2010-06-17,low,5.4927,0.2289
001,2010-06-17,medium,5.5434,0.231
001,2010-06-17,high,5.5941,0.2331
001,2010-06-18,low,5.5154,0.2298
001,2010-06-18,medium,5.5672,0.232
001,2010-06-18,high,5.6191,0.2341
001,2010-06-19,low,5.4944,0.2289
001,2010-06-19,medium,5.5454,0.2311
001,2010-06-19,high,5.5965,0.2332
001,2010-06-20,low,5.3888,0.2245
001,2010-06-20,medium,5.4395,0.2266
001,2010-06-20,high,5.4902,0.2288
001,2010-06-21,low,5.3404,0.2225
001,2010-06-21,medium,5.3903,0.2246
001,2010-06-21,high,5.4403,0.2267
001,2010-06-22,low,5.4179,0.2257
001,2010-06-22,medium,5.4688,0.2279
001,2010-06-22,high,5.5196,0.23
001,2010-06-23,low,5.3322,0.2222
001,2010-06-23,medium,5.3819,0.2242
001,2010-06-23,high,5.4316,0.2263
001,2010-06-24,low,5.4636,0.2277
001,2010-06-24,medium,5.5138,0.2297
001,2010-06-24,high,5.564,0.2318
001,2010-06-25,low,5.4116,0.2255
001,2010-06-25,medium,5.4624,0.2276
001,2010-06-25,high,5.5131,0.2297
001,2010-06-26,low,5.2853,0.2202
001,2010-06-26,medium,5.3357,0.2223
001,2010-06-26,high,5.3861,0.2244
001,2010-06-27,low,5.2571,0.219
001,2010-06-27,medium,5.3065,0.2211
001,2010-06-27,high,5.3559,0.2232
001,2010-06-28,low,5.2716,0.2197
001,2010-06-28,medium,5.3204,0.2217
001,2010-06-28,high,5.3692,0.2237
001,2010-06-29,low,5.2955,0.2206
001,2010-06-29,medium,5.3457,0.2227
001,2010-06-29,high,5.396,0.2248
001,2010-06-30,low,5.3304,0.2221
001,2010-06-30,medium,5.3803,0.2242
001,2010-06-30,high,5.4303,0.2263
001,2010-07-01,low,5.4215,0.2259
001,2010-07-01,medium,5.472,0.228
001,2010-07-01,high,5.5225,0.2301
001,2010-07-02,low,5.2977,0.2207
001,2010-07-02,medium,5.3475,0.2228
001,2010-07-02,high,5.3974,0.2249
001,2010-07-03,low,5.2412,0.2184
001,2010-07-03,medium,5.2907,0.2204
001,2010-07-03,high,5.3402,0.2225
001,2010-07-04,low,5.4266,0.2261
001,2010-07-04,medium,5.4771,0.2282
001,2010-07-04,high,5.5275,0.2303
001,2010-07-05,low,5.3572,0.2232
001,2010-07-05,medium,5.4076,0.2253
001,2010-07-05,high,5.458,0.2274
001,2010-07-06,low,5.1055,0.2127
001,2010-07-06,medium,5.1536,0.2147
001,2010-07-06,high,5.2017,0.2167
001,2010-07-07,low,5.106,0.2127
001,2010-07-07,medium,5.1544,0.2148
001,2010-07-07,high,5.2028,0.2168
001,2010-07-08,low,5.2476,0.2187
001,2010-07-08,medium,5.2973,0.2207
001,2010-07-08,high,5.3469,0.2228
001,2010-07-09,low,5.325,0.2219
001,2010-07-09,medium,5.3744,0.2239
001,2010-07-09,high,5.4239,0.226
001,2010-07-10,low,5.2986,0.2208
001,2010-07-10,medium,5.3478,0.2228
001,2010-07-10,high,5.3971,0.2249
001,2010-07-11,low,5.3204,0.2217
001,2010-07-11,medium,5.3704,0.2238
001,2010-07-11,high,5.4203,0.2258
001,2010-07-12,low,5.367,0.2236
001,2010-07-12,medium,5.4179,0.2257
001,2010-07-12,high,5.4688,0.2279
001,2010-07-13,low,5.1338,0.2139
001,2010-07-13,medium,5.1822,0.2159
001,2010-07-13,high,5.2306,0.2179
001,2010-07-14,low,5.0609,0.2109
001,2010-07-14,medium,5.11,0.2129
001,2010-07-14,high,5.1592,0.215
001,2010-07-15,low,5.1934,0.2164
001,2010-07-15,medium,5.2424,0.2184
001,2010-07-15,high,5.2915,0.2205
001,2010-07-16,low,5.1765,0.2157
001,2010-07-16,medium,5.2257,0.2177
001,2010-07-16,high,5.2749,0.2198
001,2010-07-17,low,5.082,0.2117
001,2010-07-17,medium,5.1299,0.2137
001,2010-07-17,high,5.1778,0.2157
001,2010-07-18,low,5.2037,0.2168
001,2010-07-18,medium,5.253,0.2189
001,2010-07-18,high,5.3023,0.2209
001,2010-07-19,low,5.2229,0.2176
001,2010-07-19,medium,5.2716,0.2197
001,2010-07-19,high,5.3204,0.2217
001,2010-07-20,low,5.3004,0.2208
001,2010-07-20,medium,5.3509,0.223
001,2010-07-20,high,5.4013,0.2251
001,2010-07-21,low,5.2308,0.218
001,2010-07-21,medium,5.2797,0.22
001,2010-07-21,high,5.3286,0.222
001,2010-07-22,low,5.1091,0.2129
001,2010-07-22,medium,5.1569,0.2149
001,2010-07-22,high,5.2048,0.2169
001,2010-07-23,low,5.0352,0.2098
001,2010-07-23,medium,5.0822,0.2118
001,2010-07-23,high,5.1292,0.2137
001,2010-07-24,low,5.1267,0.2136
001,2010-07-24,medium,5.1749,0.2156
001,2010-07-24,high,5.2231,0.2176
001,2010-07-25,low,4.9321,0.2055
001,2010-07-25,medium,4.9796,0.2075
001,2010-07-25,high,5.0271,0.2095
