# SOURCE: Egyptian Ministry of Agriculture crop calendars; FAO Crop Calendar Platform
#   - FAO Crop Calendar: https://cropcalendar.apps.fao.org/
#   - FAO Crop Water Requirements: https://www.fao.org/4/s2022e/s2022e07.htm
#   - FAO Crop Information (tomato, potato): https://www.fao.org/land-water/databases-and-software/crop-information/
#   - Gaara Seeds Egypt (tomato seasons): https://gaaraseeds.com/en/blog/tomato-varieties-in-egypt/
#   - PotatoPro Egypt: https://www.potatopro.com/potato-markets/egypt
#   - Tridge Egypt (onion): https://www.tridge.com/intelligences/onion/EG/season
#   - Middle East J. Agriculture Research (onion): https://www.curresweb.com/index.php/MEJAR1/article/view/584/563
#   - HEIA Egypt Crop Calendar: https://heiaegypt.org/egypt-crop-calendar/
# DATE: 2026-02-06
# DESCRIPTION: Planting windows for 5 crops in Sinai Peninsula hot arid climate (~28N, 34E).
#   Dates are transplanting/field dates (not nursery sowing dates). Multiple windows per crop
#   reflect year-round irrigation capability and Egyptian three-season agriculture
#   (winter/shitawi, summer/seifi, nili). Agri-PV shading noted where it extends viability.
#   Offset dates (±10 days from primary/secondary windows) added for planting schedule
#   optimization — same season length and agronomic conditions as parent window.
# UNITS:
#   - planting_date_mmdd: Planting date in MM-DD format (year set by simulation)
#   - expected_season_length_days: Days from planting to final harvest
# LOGIC: Windows selected from Egyptian agricultural practice for warm arid regions (Upper Egypt,
#   Sinai). Summer plantings (Jun-Aug) excluded for heat-sensitive crops. Potato excluded from
#   Apr-Jun due to tuber inhibition above 30C. Onion aligned with Egyptian short-day variety
#   production calendar (Oct nursery -> Dec transplant). Kale spring window requires agri-PV shade.
# DEPENDENCIES: crop_coefficients-research.csv (season lengths should be consistent)
# ASSUMPTIONS: Drip irrigation available year-round; brackish groundwater desalination; agri-PV
#   fixed-tilt 28 degrees provides partial shading for secondary windows
crop,planting_date_mmdd,season_label,window_type,expected_season_length_days,notes
onion,04-01,spring,secondary,130,Green/spring onions primarily; heat stress reduces dry bulb quality
onion,04-11,spring,offset,130,Offset +10d from 04-01; late spring planting
onion,11-21,fall-winter,offset,150,Offset -10d from 12-01; early fall-winter transplant
onion,12-01,fall-winter,primary,150,Main Egyptian season; transplanted from Oct nursery; short-day Giza 20/Beheri varieties
onion,12-11,fall-winter,offset,150,Offset +10d from 12-01; late fall-winter transplant
kale,01-22,winter-spring,offset,85,Offset -10d from 02-01; early winter-spring planting
kale,02-01,winter-spring,primary,85,Good quality before heat onset; harvest Apr-May
kale,02-11,winter-spring,offset,85,Offset +10d from 02-01; late winter-spring planting
kale,03-05,spring,offset,75,Offset -10d from 03-15; early spring planting
kale,03-15,spring,secondary,75,Only recommended under agri-PV shading; heat-tolerant variety required
kale,03-25,spring,offset,75,Offset +10d from 03-15; late spring planting
kale,09-21,fall,offset,85,Offset -10d from 10-01; early fall planting
kale,10-01,fall,primary,85,Cool season onset; good growth; harvest Dec-Jan
kale,10-11,fall,offset,85,Offset +10d from 10-01; late fall planting
kale,11-21,winter,offset,85,Offset -10d from 12-01; early winter planting
kale,12-01,winter,primary,85,Peak quality; mild Sinai winter temps 17-21C; harvest Feb-Mar
kale,12-11,winter,offset,85,Offset +10d from 12-01; late winter planting
cucumber,02-05,winter-spring,offset,95,Offset -10d from 02-15; early winter-spring planting
cucumber,02-15,winter-spring,primary,95,Best quality; moderate temps during fruit set; Feb-May harvest
cucumber,02-25,winter-spring,offset,95,Offset +10d from 02-15; late winter-spring planting
cucumber,03-22,spring,offset,85,Offset -10d from 04-01; early spring planting
cucumber,04-01,spring,secondary,85,Good yields but heat stress risk late in season; may produce bitter fruit above 35C
cucumber,04-11,spring,offset,85,Offset +10d from 04-01; late spring planting
cucumber,08-22,fall,offset,95,Offset -10d from 09-01; early fall planting
cucumber,09-01,fall,primary,95,Excellent window; declining temps through season; good fruit quality
cucumber,09-11,fall,offset,95,Offset +10d from 09-01; late fall planting
cucumber,10-05,fall-winter,offset,95,Offset -10d from 10-15; early fall-winter planting
cucumber,10-15,fall-winter,secondary,95,Good quality; risk of cool nights slowing growth in late season
cucumber,10-25,fall-winter,offset,95,Offset +10d from 10-15; late fall-winter planting
