day,small_household_energy_kwh,medium_household_energy_kwh,large_household_energy_kwh,small_household_water_m3,medium_household_water_m3,large_household_water_m3,office_admin_energy_kwh,non_conditioned_warehouse_energy_kwh,climate_controlled_warehouse_energy_kwh,chilled_warehouse_energy_kwh,meeting_hall_energy_kwh,workshop_maintenance_energy_kwh,office_admin_water_m3,non_conditioned_warehouse_water_m3,climate_controlled_warehouse_water_m3,chilled_warehouse_water_m3,meeting_hall_water_m3,workshop_maintenance_water_m3,total_household_energy_kwh,total_building_energy_kwh,total_community_energy_kwh,total_household_water_m3,total_building_water_m3,total_water_m3
2010-01-11,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,8.975,11.02,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,112.14,586.14,15.246,11.1,26.346
2010-01-12,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,5.65,9.67,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,107.465,581.465,15.246,11.1,26.346
2010-01-13,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,9.65,11.29,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,113.085,587.085,15.246,11.1,26.346
2010-01-14,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,7.0,10.21,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,109.355,583.355,15.246,11.1,26.346
2010-01-15,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,7.925,10.59,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,110.66,584.66,15.246,11.1,26.346
2010-01-16,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,7.0,10.21,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,109.355,583.355,15.246,11.1,26.346
2010-01-17,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,13.6,12.91,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,126.225,659.475,16.05,11.655,27.705
2010-01-18,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,8.575,10.86,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,111.58,585.58,15.246,11.1,26.346
2010-01-19,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,5.925,9.78,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,107.85,581.85,15.246,11.1,26.346
2010-01-20,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,10.825,11.78,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,114.75,588.75,15.246,11.1,26.346
2010-01-21,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,5.525,9.62,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,107.29,581.29,15.246,11.1,26.346
2010-01-22,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,9.25,11.13,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,112.525,586.525,15.246,11.1,26.346
2010-01-23,86.4,153.6,234.0,2.28,5.136,7.83,16.875,4.5,5.0,8.81,13.2,49.5,1.5,0.5,1.0,0.5,1.6,6.0,474.0,97.885,571.885,15.246,11.1,26.346
2010-01-24,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,5.275,9.51,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,106.93,580.93,15.246,11.1,26.346
2010-01-25,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,9.375,11.18,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,112.7,586.7,15.246,11.1,26.346
2010-01-26,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,10.825,11.78,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,114.75,588.75,15.246,11.1,26.346
2010-01-27,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,9.375,11.18,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,112.7,586.7,15.246,11.1,26.346
2010-01-28,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,8.7,10.91,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,111.755,585.755,15.246,11.1,26.346
2010-01-29,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,8.175,10.7,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,111.02,585.02,15.246,11.1,26.346
2010-01-30,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,5.125,9.45,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,106.72,580.72,15.246,11.1,26.346
2010-01-31,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,7.25,10.32,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,109.715,583.715,15.246,11.1,26.346
2010-02-01,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,7.925,10.59,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,110.66,584.66,15.246,11.1,26.346
2010-02-02,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,12.025,12.26,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,124.0,657.25,16.05,11.655,27.705
2010-02-03,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,10.3,11.56,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,114.005,588.005,15.246,11.1,26.346
2010-02-04,86.4,153.6,234.0,2.28,5.136,7.83,16.875,4.5,5.0,9.29,13.2,49.5,1.5,0.5,1.0,0.5,1.6,6.0,474.0,98.365,572.365,15.246,11.1,26.346
2010-02-05,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,10.3,11.56,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,114.005,588.005,15.246,11.1,26.346
2010-02-06,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,8.575,10.86,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,111.58,585.58,15.246,11.1,26.346
2010-02-07,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,7.925,10.59,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,110.66,584.66,15.246,11.1,26.346
2010-02-08,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,11.35,11.99,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,115.485,589.485,15.246,11.1,26.346
2010-02-09,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,12.55,12.48,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,124.745,657.995,16.05,11.655,27.705
2010-02-10,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,12.425,12.42,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,124.56,657.81,16.05,11.655,27.705
2010-02-11,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,7.775,10.53,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,110.45,584.45,15.246,11.1,26.346
2010-02-12,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,9.375,11.18,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,112.7,586.7,15.246,11.1,26.346
2010-02-13,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,11.1,11.88,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,115.125,589.125,15.246,11.1,26.346
2010-02-14,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,12.95,12.64,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,125.305,658.555,16.05,11.655,27.705
2010-02-15,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,9.25,11.13,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,112.525,586.525,15.246,11.1,26.346
2010-02-16,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,10.175,11.51,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,113.83,587.83,15.246,11.1,26.346
2010-02-17,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,7.775,10.53,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,110.45,584.45,15.246,11.1,26.346
2010-02-18,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,7.65,10.48,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,110.275,584.275,15.246,11.1,26.346
2010-02-19,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,13.075,12.69,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,125.48,658.73,16.05,11.655,27.705
2010-02-20,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,14.675,13.34,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,127.73,660.98,16.05,11.655,27.705
2010-02-21,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,11.1,11.88,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,115.125,589.125,15.246,11.1,26.346
2010-02-22,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,14.0,13.07,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,126.785,660.035,16.05,11.655,27.705
2010-02-23,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,12.425,12.42,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,124.56,657.81,16.05,11.655,27.705
2010-02-24,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,9.9,11.4,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,113.445,587.445,15.246,11.1,26.346
2010-02-25,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,12.825,12.59,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,125.13,658.38,16.05,11.655,27.705
2010-02-26,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.4,16.0,13.88,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,129.995,663.245,16.05,11.655,27.705
2010-02-27,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,12.025,12.26,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,124.0,657.25,16.05,11.655,27.705
2010-02-28,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.4,16.4,14.04,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,130.555,663.805,16.05,11.655,27.705
2010-03-01,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,5.525,9.62,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,107.29,581.29,15.246,11.1,26.346
2010-03-02,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,14.8,13.4,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,127.915,661.165,16.05,11.655,27.705
2010-03-03,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,12.95,12.64,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,125.305,658.555,16.05,11.655,27.705
2010-03-04,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,12.15,12.32,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,124.185,657.435,16.05,11.655,27.705
2010-03-05,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,13.35,12.8,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,125.865,659.115,16.05,11.655,27.705
2010-03-06,86.4,153.6,234.0,2.28,5.136,7.83,19.125,5.0,7.925,10.59,14.32,53.7,1.5,0.5,1.0,0.5,1.6,6.0,474.0,110.66,584.66,15.246,11.1,26.346
2010-03-07,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,12.825,12.59,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,125.13,658.38,16.05,11.655,27.705
2010-03-08,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,14.55,13.29,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,127.555,660.805,16.05,11.655,27.705
2010-03-09,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.4,17.725,14.58,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,132.42,665.67,16.05,11.655,27.705
2010-03-10,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,12.55,12.48,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,124.745,657.995,16.05,11.655,27.705
2010-03-11,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,12.025,12.26,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,124.0,657.25,16.05,11.655,27.705
2010-03-12,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,12.95,12.64,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,125.305,658.555,16.05,11.655,27.705
2010-03-13,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.4,16.925,14.26,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,131.3,664.55,16.05,11.655,27.705
2010-03-14,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.4,15.6,13.72,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,129.435,662.685,16.05,11.655,27.705
2010-03-15,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,13.475,12.86,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,126.05,659.3,16.05,11.655,27.705
2010-03-16,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.4,16.4,14.04,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,130.555,663.805,16.05,11.655,27.705
2010-03-17,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.4,15.6,13.72,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,129.435,662.685,16.05,11.655,27.705
2010-03-18,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.4,18.125,14.75,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,132.99,666.24,16.05,11.655,27.705
2010-03-19,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,13.875,13.02,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,126.61,659.86,16.05,11.655,27.705
2010-03-20,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,15.075,13.5,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,128.29,661.54,16.05,11.655,27.705
2010-03-21,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,15.075,13.5,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,128.29,661.54,16.05,11.655,27.705
2010-03-22,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,12.425,12.42,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,124.56,657.81,16.05,11.655,27.705
2010-03-23,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.4,17.325,14.42,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,131.86,665.11,16.05,11.655,27.705
2010-03-24,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.4,17.45,14.48,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,132.045,665.295,16.05,11.655,27.705
2010-03-25,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.4,16.925,14.26,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,131.3,664.55,16.05,11.655,27.705
2010-03-26,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.4,16.525,14.1,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,130.74,663.99,16.05,11.655,27.705
2010-03-27,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,13.6,12.91,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,126.225,659.475,16.05,11.655,27.705
2010-03-28,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.4,16.4,14.04,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,130.555,663.805,16.05,11.655,27.705
2010-03-29,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.4,16.925,14.26,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,131.3,664.55,16.05,11.655,27.705
2010-03-30,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.4,15.875,13.83,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,129.82,663.07,16.05,11.655,27.705
2010-03-31,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.4,17.85,14.64,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,132.605,665.855,16.05,11.655,27.705
2010-04-01,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,19.45,15.29,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,138.64,731.14,16.05,11.655,27.705
2010-04-02,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,23.675,17.01,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,144.585,737.085,16.05,11.655,27.705
2010-04-03,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,19.3,15.23,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,138.43,730.93,16.05,11.655,27.705
2010-04-04,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,19.85,15.45,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,139.2,731.7,16.05,11.655,27.705
2010-04-05,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,19.175,15.18,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,138.255,730.755,16.05,11.655,27.705
2010-04-06,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.0,14.4,13.23,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,127.345,660.595,16.05,11.655,27.705
2010-04-07,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,19.7,15.39,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,138.99,731.49,16.05,11.655,27.705
2010-04-08,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,20.1,15.56,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,139.56,732.06,16.05,11.655,27.705
2010-04-09,118.8,211.2,321.75,2.64,5.94,9.075,25.875,5.75,26.725,18.26,17.68,66.3,1.725,0.575,1.15,0.575,1.84,6.9,651.75,160.59,812.34,17.655,12.765,30.42
2010-04-10,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,19.975,15.5,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,139.375,731.875,16.05,11.655,27.705
2010-04-11,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,21.425,16.1,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,141.425,733.925,16.05,11.655,27.705
2010-04-12,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,20.775,15.83,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,140.505,733.005,16.05,11.655,27.705
2010-04-13,97.2,172.8,263.25,2.4,5.4,8.25,21.375,5.4,17.975,14.69,15.44,57.9,1.575,0.525,1.05,0.525,1.68,6.3,533.25,132.78,666.03,16.05,11.655,27.705
2010-04-14,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,24.35,17.28,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,145.53,738.03,16.05,11.655,27.705
2010-04-15,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,23.55,16.96,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,144.41,736.91,16.05,11.655,27.705
2010-04-16,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,23.95,17.12,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,144.97,737.47,16.05,11.655,27.705
2010-04-17,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,19.575,15.34,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,138.815,731.315,16.05,11.655,27.705
2010-04-18,118.8,211.2,321.75,2.64,5.94,9.075,25.875,5.75,25.925,17.93,17.68,66.3,1.725,0.575,1.15,0.575,1.84,6.9,651.75,159.46,811.21,17.655,12.765,30.42
2010-04-19,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,18.775,15.02,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,137.695,730.195,16.05,11.655,27.705
2010-04-20,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,24.35,17.28,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,145.53,738.03,16.05,11.655,27.705
2010-04-21,118.8,211.2,321.75,2.64,5.94,9.075,25.875,5.75,28.725,19.07,17.68,66.3,1.725,0.575,1.15,0.575,1.84,6.9,651.75,163.4,815.15,17.655,12.765,30.42
2010-04-22,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,20.5,15.72,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,140.12,732.62,16.05,11.655,27.705
2010-04-23,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,21.95,16.31,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,142.16,734.66,16.05,11.655,27.705
2010-04-24,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,23.95,17.12,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,144.97,737.47,16.05,11.655,27.705
2010-04-25,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,22.5,16.53,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,142.93,735.43,16.05,11.655,27.705
2010-04-26,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,19.975,15.5,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,139.375,731.875,16.05,11.655,27.705
2010-04-27,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,24.475,17.34,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,145.715,738.215,16.05,11.655,27.705
2010-04-28,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,21.7,16.2,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,141.8,734.3,16.05,11.655,27.705
2010-04-29,118.8,211.2,321.75,2.64,5.94,9.075,25.875,5.75,26.075,17.99,17.68,66.3,1.725,0.575,1.15,0.575,1.84,6.9,651.75,159.67,811.42,17.655,12.765,30.42
2010-04-30,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,22.5,16.53,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,142.93,735.43,16.05,11.655,27.705
2010-05-01,118.8,211.2,321.75,2.64,5.94,9.075,25.875,5.75,29.25,19.28,17.68,66.3,1.725,0.575,1.15,0.575,1.84,6.9,651.75,164.135,815.885,17.655,12.765,30.42
2010-05-02,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,23.275,16.85,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,144.025,736.525,16.05,11.655,27.705
2010-05-03,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,24.75,17.45,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,146.1,738.6,16.05,11.655,27.705
2010-05-04,118.8,211.2,321.75,2.64,5.94,9.075,25.875,5.75,28.05,18.8,17.68,66.3,1.725,0.575,1.15,0.575,1.84,6.9,651.75,162.455,814.205,17.655,12.765,30.42
2010-05-05,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,22.75,16.64,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,143.29,735.79,16.05,11.655,27.705
2010-05-06,118.8,211.2,321.75,2.64,5.94,9.075,25.875,5.75,26.875,18.31,17.68,66.3,1.725,0.575,1.15,0.575,1.84,6.9,651.75,160.79,812.54,17.655,12.765,30.42
2010-05-07,118.8,211.2,321.75,2.64,5.94,9.075,25.875,5.75,29.9,19.55,17.68,66.3,1.725,0.575,1.15,0.575,1.84,6.9,651.75,165.055,816.805,17.655,12.765,30.42
2010-05-08,108.0,192.0,292.5,2.4,5.4,8.25,22.5,5.4,22.5,16.53,16.0,60.0,1.575,0.525,1.05,0.525,1.68,6.3,592.5,142.93,735.43,16.05,11.655,27.705
2010-05-09,118.8,211.2,321.75,2.64,5.94,9.075,25.875,5.75,27.4,18.53,17.68,66.3,1.725,0.575,1.15,0.575,1.84,6.9,651.75,161.535,813.285,17.655,12.765,30.42
2010-05-10,118.8,211.2,321.75,2.64,5.94,9.075,25.875,5.75,27.8,18.69,17.68,66.3,1.725,0.575,1.15,0.575,1.84,6.9,651.75,162.095,813.845,17.655,12.765,30.42
