# SOURCE: Computed from weather data using Weibull-integrated power curve model
# DATE: 2026-02-06
# DESCRIPTION: Normalized daily wind power output per kW of rated capacity for turbine variants (small 10kW, medium 25kW, large 50kW)
# UNITS: date=YYYY-MM-DD, turbine_variant=text, kwh_per_kw_per_day=kWh/kW/day, capacity_factor=dimensionless(0-1)
# LOGIC: Power curve model with cut-in/rated/cut-out speeds integrated over Weibull (Rayleigh, k=2) wind speed distribution. Below cut-in: 0. Cut-in to rated: cubic relationship. Rated to cut-out: full power. Above cut-out: 0. Wind shear correction applied (alpha=0.17) to scale from 10m measurement height to hub height. Weibull scale parameter derived from hub-height daily average wind speed.
# DEPENDENCIES: data/precomputed/weather/daily_weather_scenario_001-toy.csv, settings/data_registry.yaml (equipment.wind_turbines)
# ASSUMPTIONS: Turbines designed for low-wind sites (IEC Class III/IV). Small turbine (10kW): cut-in 2.5 m/s, rated 11.0 m/s, cut-out 25.0 m/s, hub 30m. Medium turbine (25kW): cut-in 3.2 m/s, rated 11.0 m/s, cut-out 25.0 m/s, hub 30m. Large turbine (50kW): cut-in 3.5 m/s, rated 10.0 m/s, cut-out 25.0 m/s, hub 37m. Wind at measurement height (10m) scaled to hub height using power law (alpha=0.17). Hourly wind speeds follow Rayleigh distribution (Weibull k=2).
weather_scenario_id,date,turbine_variant,kwh_per_kw_per_day,capacity_factor
001,2010-01-16,medium,0.5044,0.021
001,2010-01-16,large,0.81,0.0337
001,2010-01-17,small,0.9953,0.0415
001,2010-01-17,medium,0.7876,0.0328
001,2010-01-17,large,1.2504,0.0521
001,2010-01-18,small,1.2824,0.0534
001,2010-01-18,medium,1.0468,0.0436
001,2010-01-18,large,1.6394,0.0683
001,2010-01-19,small,1.6251,0.0677
001,2010-01-19,medium,1.3624,0.0568
001,2010-01-19,large,2.0975,0.0874
001,2010-01-20,small,0.6644,0.0277
001,2010-01-20,medium,0.4979,0.0207
001,2010-01-20,large,0.7996,0.0333
001,2010-01-21,small,0.3378,0.0141
001,2010-01-21,medium,0.228,0.0095
001,2010-01-21,large,0.3646,0.0152
001,2010-01-22,small,0.727,0.0303
001,2010-01-22,medium,0.5518,0.023
001,2010-01-22,large,0.8848,0.0369
001,2010-01-23,small,0.5982,0.0249
001,2010-01-23,medium,0.4416,0.0184
001,2010-01-23,large,0.71,0.0296
001,2010-01-24,small,1.6121,0.0672
001,2010-01-24,medium,1.3503,0.0563
001,2010-01-24,large,2.0803,0.0867
001,2010-01-25,small,0.4209,0.0175
001,2010-01-25,medium,0.2945,0.0123
001,2010-01-25,large,0.4729,0.0197
001,2010-01-26,small,1.2939,0.0539
001,2010-01-26,medium,1.0572,0.0441
001,2010-01-26,large,1.6549,0.069
001,2010-01-27,small,6.8265,0.2844
001,2010-01-27,medium,6.4468,0.2686
001,2010-01-27,large,8.2346,0.3431
001,2010-01-28,small,1.3403,0.0558
001,2010-01-28,medium,1.0997,0.0458
001,2010-01-28,large,1.7173,0.0716
001,2010-01-29,small,1.8545,0.0773
001,2010-01-29,medium,1.5766,0.0657
001,2010-01-29,large,2.3998,0.1
001,2010-01-30,small,4.2159,0.1757
001,2010-01-30,medium,3.8545,0.1606
001,2010-01-30,large,5.3165,0.2215
001,2010-01-31,small,2.7118,0.113
001,2010-01-31,medium,2.3914,0.0996
001,2010-01-31,large,3.4974,0.1457
001,2010-02-01,small,1.0862,0.0453
001,2010-02-01,medium,0.869,0.0362
001,2010-02-01,large,1.374,0.0572
001,2010-02-02,small,1.1282,0.047
001,2010-02-02,medium,0.9068,0.0378
001,2010-02-02,large,1.4309,0.0596
001,2010-02-03,small,2.2957,0.0957
001,2010-02-03,medium,1.9935,0.0831
001,2010-02-03,large,2.9708,0.1238
001,2010-02-04,small,1.0759,0.0448
001,2010-02-04,medium,0.8598,0.0358
001,2010-02-04,large,1.3599,0.0567
001,2010-02-05,small,1.0966,0.0457
001,2010-02-05,medium,0.8784,0.0366
001,2010-02-05,large,1.3881,0.0578
001,2010-02-06,small,7.0205,0.2925
001,2010-02-06,medium,6.6411,0.2767
001,2010-02-06,large,8.442,0.3517
001,2010-02-07,small,1.6121,0.0672
001,2010-02-07,medium,1.3503,0.0563
001,2010-02-07,large,2.0803,0.0867
001,2010-02-08,small,1.0151,0.0423
001,2010-02-08,medium,0.8053,0.0336
001,2010-02-08,large,1.2773,0.0532
001,2010-02-09,small,1.2484,0.052
001,2010-02-09,medium,1.0158,0.0423
001,2010-02-09,large,1.5935,0.0664
001,2010-02-10,small,0.828,0.0345
001,2010-02-10,medium,0.6397,0.0267
001,2010-02-10,large,1.0224,0.0426
001,2010-02-11,small,0.9953,0.0415
001,2010-02-11,medium,0.7876,0.0328
001,2010-02-11,large,1.2504,0.0521
001,2010-02-12,small,0.8106,0.0338
001,2010-02-12,medium,0.6244,0.026
001,2010-02-12,large,0.9986,0.0416
001,2010-02-13,small,0.828,0.0345
001,2010-02-13,medium,0.6397,0.0267
001,2010-02-13,large,1.0224,0.0426
001,2010-02-14,small,3.7114,0.1546
001,2010-02-14,medium,3.3604,0.14
001,2010-02-14,large,4.7198,0.1967
001,2010-02-15,small,0.7433,0.031
001,2010-02-15,medium,0.5658,0.0236
001,2010-02-15,large,0.9069,0.0378
001,2010-02-16,small,0.6418,0.0267
001,2010-02-16,medium,0.4786,0.0199
001,2010-02-16,large,0.769,0.032
001,2010-02-17,small,2.6295,0.1096
001,2010-02-17,medium,2.3125,0.0964
001,2010-02-17,large,3.3942,0.1414
001,2010-02-18,small,1.271,0.053
001,2010-02-18,medium,1.0364,0.0432
001,2010-02-18,large,1.624,0.0677
001,2010-02-19,small,0.5982,0.0249
001,2010-02-19,medium,0.4416,0.0184
001,2010-02-19,large,0.71,0.0296
001,2010-02-20,small,0.828,0.0345
001,2010-02-20,medium,0.6397,0.0267
001,2010-02-20,large,1.0224,0.0426
001,2010-02-21,small,0.9661,0.0403
001,2010-02-21,medium,0.7616,0.0317
001,2010-02-21,large,1.2106,0.0504
001,2010-02-22,small,1.0759,0.0448
001,2010-02-22,medium,0.8598,0.0358
001,2010-02-22,large,1.3599,0.0567
001,2010-02-23,small,1.4851,0.0619
001,2010-02-23,medium,1.2328,0.0514
001,2010-02-23,large,1.9113,0.0796
001,2010-02-24,small,10.89,0.4538
001,2010-02-24,medium,10.5484,0.4395
001,2010-02-24,large,12.3571,0.5149
001,2010-02-25,small,2.5161,0.1048
001,2010-02-25,medium,2.2038,0.0918
001,2010-02-25,large,3.2512,0.1355
001,2010-02-26,small,3.5652,0.1485
001,2010-02-26,medium,3.2177,0.1341
001,2010-02-26,large,4.5445,0.1894
001,2010-02-27,small,0.9661,0.0403
001,2010-02-27,medium,0.7616,0.0317
001,2010-02-27,large,1.2106,0.0504
001,2010-02-28,small,2.1139,0.0881
001,2010-02-28,medium,1.821,0.0759
001,2010-02-28,large,2.7371,0.114
001,2010-03-01,small,1.317,0.0549
001,2010-03-01,medium,1.0783,0.0449
001,2010-03-01,large,1.6859,0.0702
001,2010-03-02,small,1.1176,0.0466
001,2010-03-02,medium,0.8973,0.0374
001,2010-03-02,large,1.4165,0.059
001,2010-03-03,small,1.0052,0.0419
001,2010-03-03,medium,0.7964,0.0332
001,2010-03-03,large,1.2638,0.0527
001,2010-03-04,small,0.672,0.028
001,2010-03-04,medium,0.5044,0.021
001,2010-03-04,large,0.81,0.0337
001,2010-03-05,small,1.9677,0.082
001,2010-03-05,medium,1.6831,0.0701
001,2010-03-05,large,2.5476,0.1062
001,2010-03-06,small,1.6909,0.0705
001,2010-03-06,medium,1.4237,0.0593
001,2010-03-06,large,2.1846,0.091
001,2010-03-07,small,2.8286,0.1179
001,2010-03-07,medium,2.5038,0.1043
001,2010-03-07,large,3.6433,0.1518
001,2010-03-08,small,0.8725,0.0364
001,2010-03-08,medium,0.6788,0.0283
001,2010-03-08,large,1.0831,0.0451
001,2010-03-09,small,5.6316,0.2346
001,2010-03-09,medium,5.2544,0.2189
001,2010-03-09,large,6.9306,0.2888
001,2010-03-10,small,0.9953,0.0415
001,2010-03-10,medium,0.7876,0.0328
001,2010-03-10,large,1.2504,0.0521
001,2010-03-11,small,1.0251,0.0427
001,2010-03-11,medium,0.8142,0.0339
001,2010-03-11,large,1.2909,0.0538
001,2010-03-12,small,1.5479,0.0645
001,2010-03-12,medium,1.2908,0.0538
001,2010-03-12,large,1.995,0.0831
001,2010-03-13,small,0.8456,0.0352
001,2010-03-13,medium,0.6551,0.0273
001,2010-03-13,large,1.0464,0.0436
001,2010-03-14,small,3.547,0.1478
001,2010-03-14,medium,3.2,0.1333
001,2010-03-14,large,4.5226,0.1884
001,2010-03-15,small,1.1388,0.0474
001,2010-03-15,medium,0.9164,0.0382
001,2010-03-15,large,1.4453,0.0602
001,2010-03-16,small,1.5101,0.0629
001,2010-03-16,medium,1.2558,0.0523
001,2010-03-16,large,1.9446,0.081
001,2010-03-17,small,1.3996,0.0583
001,2010-03-17,medium,1.1541,0.0481
001,2010-03-17,large,1.797,0.0749
001,2010-03-18,small,1.5352,0.064
001,2010-03-18,medium,1.2791,0.0533
001,2010-03-18,large,1.9781,0.0824
001,2010-03-19,small,1.4604,0.0609
001,2010-03-19,medium,1.21,0.0504
001,2010-03-19,large,1.8783,0.0783
001,2010-03-20,small,0.9565,0.0399
001,2010-03-20,medium,0.7531,0.0314
001,2010-03-20,large,1.1975,0.0499
001,2010-03-21,small,0.9469,0.0395
001,2010-03-21,medium,0.7446,0.031
001,2010-03-21,large,1.1845,0.0494
001,2010-03-22,small,0.7031,0.0293
001,2010-03-22,medium,0.5311,0.0221
001,2010-03-22,large,0.8522,0.0355
001,2010-03-23,small,1.8129,0.0755
001,2010-03-23,medium,1.5376,0.0641
001,2010-03-23,large,2.3452,0.0977
001,2010-03-24,small,1.4976,0.0624
001,2010-03-24,medium,1.2443,0.0518
001,2010-03-24,large,1.9279,0.0803
001,2010-03-25,small,0.9374,0.0391
001,2010-03-25,medium,0.7361,0.0307
001,2010-03-25,large,1.1715,0.0488
001,2010-03-26,small,1.8406,0.0767
001,2010-03-26,medium,1.5635,0.0651
001,2010-03-26,large,2.3815,0.0992
001,2010-03-27,small,1.3403,0.0558
001,2010-03-27,medium,1.0997,0.0458
001,2010-03-27,large,1.7173,0.0716
001,2010-03-28,small,0.8816,0.0367
001,2010-03-28,medium,0.6868,0.0286
001,2010-03-28,large,1.0955,0.0456
001,2010-03-29,small,4.1969,0.1749
001,2010-03-29,medium,3.8359,0.1598
001,2010-03-29,large,5.2943,0.2206
001,2010-03-30,small,0.8908,0.0371
001,2010-03-30,medium,0.6949,0.029
001,2010-03-30,large,1.108,0.0462
001,2010-03-31,small,9.6778,0.4032
001,2010-03-31,medium,9.3189,0.3883
001,2010-03-31,large,11.174,0.4656
001,2010-04-01,small,2.4048,0.1002
001,2010-04-01,medium,2.0975,0.0874
001,2010-04-01,large,3.11,0.1296
001,2010-04-02,small,1.9107,0.0796
001,2010-04-02,medium,1.6294,0.0679
001,2010-04-02,large,2.4733,0.1031
001,2010-04-03,small,1.9249,0.0802
001,2010-04-03,medium,1.6427,0.0684
001,2010-04-03,large,2.4918,0.1038
001,2010-04-04,small,8.0117,0.3338
001,2010-04-04,medium,7.6367,0.3182
001,2010-04-04,large,9.4838,0.3952
001,2010-04-05,small,7.7292,0.3221
001,2010-04-05,medium,7.3526,0.3064
001,2010-04-05,large,9.1899,0.3829
001,2010-04-06,small,2.1587,0.0899
001,2010-04-06,medium,1.8635,0.0776
001,2010-04-06,large,2.7949,0.1165
001,2010-04-07,small,1.9391,0.0808
001,2010-04-07,medium,1.6561,0.069
001,2010-04-07,large,2.5103,0.1046
001,2010-04-08,small,1.1602,0.0483
001,2010-04-08,medium,0.9358,0.039
001,2010-04-08,large,1.4743,0.0614
001,2010-04-09,small,3.1722,0.1322
001,2010-04-09,medium,2.8358,0.1182
001,2010-04-09,large,4.0675,0.1695
001,2010-04-10,small,1.2824,0.0534
001,2010-04-10,medium,1.0468,0.0436
001,2010-04-10,large,1.6394,0.0683
001,2010-04-11,small,4.5212,0.1884
001,2010-04-11,medium,4.155,0.1731
001,2010-04-11,large,5.6718,0.2363
001,2010-04-12,small,0.8456,0.0352
001,2010-04-12,medium,0.6551,0.0273
001,2010-04-12,large,1.0464,0.0436
001,2010-04-13,small,1.0151,0.0423
001,2010-04-13,medium,0.8053,0.0336
001,2010-04-13,large,1.2773,0.0532
001,2010-04-14,small,1.2597,0.0525
001,2010-04-14,medium,1.026,0.0428
001,2010-04-14,large,1.6087,0.067
001,2010-04-15,small,1.3757,0.0573
001,2010-04-15,medium,1.1321,0.0472
001,2010-04-15,large,1.7649,0.0735
001,2010-04-16,small,3.1722,0.1322
001,2010-04-16,medium,2.8358,0.1182
001,2010-04-16,large,4.0675,0.1695
001,2010-04-17,small,2.4364,0.1015
001,2010-04-17,medium,2.1277,0.0887
001,2010-04-17,large,3.1502,0.1313
001,2010-04-18,small,1.7176,0.0716
001,2010-04-18,medium,1.4486,0.0604
001,2010-04-18,large,2.2199,0.0925
001,2010-04-19,small,1.0151,0.0423
001,2010-04-19,medium,0.8053,0.0336
001,2010-04-19,large,1.2773,0.0532
001,2010-04-20,small,4.2918,0.1788
001,2010-04-20,medium,3.9292,0.1637
001,2010-04-20,large,5.4052,0.2252
001,2010-04-21,small,1.4481,0.0603
001,2010-04-21,medium,1.1987,0.0499
001,2010-04-21,large,1.8619,0.0776
001,2010-04-22,small,0.9374,0.0391
001,2010-04-22,medium,0.7361,0.0307
001,2010-04-22,large,1.1715,0.0488
001,2010-04-23,small,2.4523,0.1022
001,2010-04-23,medium,2.1428,0.0893
001,2010-04-23,large,3.1703,0.1321
001,2010-04-24,small,1.2149,0.0506
001,2010-04-24,medium,0.9853,0.0411
001,2010-04-24,large,1.5483,0.0645
001,2010-04-25,small,0.9565,0.0399
001,2010-04-25,medium,0.7531,0.0314
001,2010-04-25,large,1.1975,0.0499
001,2010-04-26,small,2.2496,0.0937
001,2010-04-26,medium,1.9497,0.0812
001,2010-04-26,large,2.9118,0.1213
001,2010-04-27,small,1.9821,0.0826
001,2010-04-27,medium,1.6966,0.0707
001,2010-04-27,large,2.5664,0.1069
001,2010-04-28,small,2.4841,0.1035
001,2010-04-28,medium,2.1732,0.0906
001,2010-04-28,large,3.2107,0.1338
001,2010-04-29,small,6.0441,0.2518
001,2010-04-29,medium,5.6651,0.236
001,2010-04-29,large,7.3863,0.3078
001,2010-04-30,small,1.3757,0.0573
001,2010-04-30,medium,1.1321,0.0472
001,2010-04-30,large,1.7649,0.0735
001,2010-05-01,small,1.2372,0.0515
001,2010-05-01,medium,1.0055,0.0419
001,2010-05-01,large,1.5784,0.0658
001,2010-05-02,small,1.2939,0.0539
001,2010-05-02,medium,1.0572,0.0441
001,2010-05-02,large,1.6549,0.069
001,2010-05-03,small,0.9,0.0375
001,2010-05-03,medium,0.703,0.0293
001,2010-05-03,large,1.1205,0.0467
001,2010-05-04,small,1.2038,0.0502
001,2010-05-04,medium,0.9753,0.0406
001,2010-05-04,large,1.5333,0.0639
001,2010-05-05,small,0.9953,0.0415
001,2010-05-05,medium,0.7876,0.0328
001,2010-05-05,large,1.2504,0.0521
001,2010-05-06,small,1.1071,0.0461
001,2010-05-06,medium,0.8878,0.037
001,2010-05-06,large,1.4023,0.0584
001,2010-05-07,small,7.5964,0.3165
001,2010-05-07,medium,7.2191,0.3008
001,2010-05-07,large,9.0508,0.3771
001,2010-05-08,small,1.0251,0.0427
001,2010-05-08,medium,0.8142,0.0339
001,2010-05-08,large,1.2909,0.0538
001,2010-05-09,small,2.7284,0.1137
001,2010-05-09,medium,2.4073,0.1003
001,2010-05-09,large,3.5182,0.1466
001,2010-05-10,small,1.4238,0.0593
001,2010-05-10,medium,1.1763,0.049
001,2010-05-10,large,1.8293,0.0762
001,2010-05-11,small,1.5101,0.0629
001,2010-05-11,medium,1.2558,0.0523
001,2010-05-11,large,1.9446,0.081
001,2010-05-12,small,1.4976,0.0624
001,2010-05-12,medium,1.2443,0.0518
001,2010-05-12,large,1.9279,0.0803
001,2010-05-13,small,1.5101,0.0629
001,2010-05-13,medium,1.2558,0.0523
001,2010-05-13,large,1.9446,0.081
001,2010-05-14,small,2.3422,0.0976
001,2010-05-14,medium,2.0378,0.0849
001,2010-05-14,large,3.0302,0.1263
001,2010-05-15,small,1.171,0.0488
001,2010-05-15,medium,0.9456,0.0394
001,2010-05-15,large,1.489,0.062
001,2010-05-16,small,1.352,0.0563
001,2010-05-16,medium,1.1104,0.0463
001,2010-05-16,large,1.7331,0.0722
001,2010-05-17,small,0.7765,0.0324
001,2010-05-17,medium,0.5947,0.0248
001,2010-05-17,large,0.9521,0.0397
001,2010-05-18,small,1.8825,0.0784
001,2010-05-18,medium,1.6029,0.0668
001,2010-05-18,large,2.4364,0.1015
001,2010-05-19,small,1.1602,0.0483
001,2010-05-19,medium,0.9358,0.039
001,2010-05-19,large,1.4743,0.0614
001,2010-05-20,small,0.928,0.0387
001,2010-05-20,medium,0.7278,0.0303
001,2010-05-20,large,1.1586,0.0483
001,2010-05-21,small,0.719,0.03
001,2010-05-21,medium,0.5449,0.0227
001,2010-05-21,large,0.8739,0.0364
001,2010-05-22,small,2.745,0.1144
001,2010-05-22,medium,2.4233,0.101
001,2010-05-22,large,3.5389,0.1475
001,2010-05-23,small,1.7176,0.0716
001,2010-05-23,medium,1.4486,0.0604
001,2010-05-23,large,2.2199,0.0925
001,2010-05-24,small,1.0452,0.0436
001,2010-05-24,medium,0.8323,0.0347
001,2010-05-24,large,1.3183,0.0549
001,2010-05-25,small,1.1388,0.0474
001,2010-05-25,medium,0.9164,0.0382
001,2010-05-25,large,1.4453,0.0602
001,2010-05-26,small,0.6198,0.0258
001,2010-05-26,medium,0.4599,0.0192
001,2010-05-26,large,0.7391,0.0308
001,2010-05-27,small,1.2484,0.052
001,2010-05-27,medium,1.0158,0.0423
001,2010-05-27,large,1.5935,0.0664
001,2010-05-28,small,1.0251,0.0427
001,2010-05-28,medium,0.8142,0.0339
001,2010-05-28,large,1.2909,0.0538
001,2010-05-29,small,1.4359,0.0598
001,2010-05-29,medium,1.1874,0.0495
001,2010-05-29,large,1.8456,0.0769
001,2010-05-30,small,2.2343,0.0931
001,2010-05-30,medium,1.9352,0.0806
001,2010-05-30,large,2.8922,0.1205
001,2010-05-31,small,1.1602,0.0483
001,2010-05-31,medium,0.9358,0.039
001,2010-05-31,large,1.4743,0.0614
001,2010-06-01,small,2.4841,0.1035
001,2010-06-01,medium,2.1732,0.0906
001,2010-06-01,large,3.2107,0.1338
001,2010-06-02,small,0.6874,0.0286
001,2010-06-02,medium,0.5177,0.0216
001,2010-06-02,large,0.8309,0.0346
001,2010-06-03,small,2.6623,0.1109
001,2010-06-03,medium,2.3439,0.0977
001,2010-06-03,large,3.4354,0.1431
001,2010-06-04,small,1.8267,0.0761
001,2010-06-04,medium,1.5505,0.0646
001,2010-06-04,large,2.3633,0.0985
001,2010-06-05,small,0.8545,0.0356
001,2010-06-05,medium,0.663,0.0276
001,2010-06-05,large,1.0586,0.0441
001,2010-06-06,small,0.7849,0.0327
001,2010-06-06,medium,0.602,0.0251
001,2010-06-06,large,0.9636,0.0402
001,2010-06-07,small,1.2939,0.0539
001,2010-06-07,medium,1.0572,0.0441
001,2010-06-07,large,1.6549,0.069
001,2010-06-08,small,0.9092,0.0379
001,2010-06-08,medium,0.7112,0.0296
001,2010-06-08,large,1.1331,0.0472
001,2010-06-09,small,1.0759,0.0448
001,2010-06-09,medium,0.8598,0.0358
001,2010-06-09,large,1.3599,0.0567
001,2010-06-10,small,0.9565,0.0399
001,2010-06-10,medium,0.7531,0.0314
001,2010-06-10,large,1.1975,0.0499
001,2010-06-11,small,1.2484,0.052
001,2010-06-11,medium,1.0158,0.0423
001,2010-06-11,large,1.5935,0.0664
001,2010-06-12,small,1.0052,0.0419
001,2010-06-12,medium,0.7964,0.0332
001,2010-06-12,large,1.2638,0.0527
001,2010-06-13,small,2.2496,0.0937
001,2010-06-13,medium,1.9497,0.0812
001,2010-06-13,large,2.9118,0.1213
001,2010-06-14,small,1.9249,0.0802
001,2010-06-14,medium,1.6427,0.0684
001,2010-06-14,large,2.4918,0.1038
001,2010-06-15,small,2.1139,0.0881
001,2010-06-15,medium,1.821,0.0759
001,2010-06-15,large,2.7371,0.114
001,2010-06-16,small,1.4727,0.0614
001,2010-06-16,medium,1.2214,0.0509
001,2010-06-16,large,1.8948,0.079
001,2010-06-17,small,0.4613,0.0192
001,2010-06-17,medium,0.3275,0.0136
001,2010-06-17,large,0.5264,0.0219
001,2010-06-18,small,1.271,0.053
001,2010-06-18,medium,1.0364,0.0432
001,2010-06-18,large,1.624,0.0677
001,2010-06-19,small,1.6776,0.0699
001,2010-06-19,medium,1.4113,0.0588
001,2010-06-19,large,2.1671,0.0903
001,2010-06-20,small,1.4851,0.0619
001,2010-06-20,medium,1.2328,0.0514
001,2010-06-20,large,1.9113,0.0796
001,2010-06-21,small,0.5107,0.0213
001,2010-06-21,medium,0.3682,0.0153
001,2010-06-21,large,0.5922,0.0247
001,2010-06-22,small,2.3891,0.0995
001,2010-06-22,medium,2.0825,0.0868
001,2010-06-22,large,3.09,0.1288
001,2010-06-23,small,1.4976,0.0624
001,2010-06-23,medium,1.2443,0.0518
001,2010-06-23,large,1.9279,0.0803
001,2010-06-24,small,1.0554,0.044
001,2010-06-24,medium,0.8414,0.0351
001,2010-06-24,large,1.3321,0.0555
001,2010-06-25,small,1.3286,0.0554
001,2010-06-25,medium,1.089,0.0454
001,2010-06-25,large,1.7016,0.0709
001,2010-06-26,small,0.7515,0.0313
001,2010-06-26,medium,0.573,0.0239
001,2010-06-26,large,0.9181,0.0383
001,2010-06-27,small,0.5982,0.0249
001,2010-06-27,medium,0.4416,0.0184
001,2010-06-27,large,0.71,0.0296
001,2010-06-28,small,0.8816,0.0367
001,2010-06-28,medium,0.6868,0.0286
001,2010-06-28,large,1.0955,0.0456
001,2010-06-29,small,0.6271,0.0261
001,2010-06-29,medium,0.4661,0.0194
001,2010-06-29,large,0.749,0.0312
001,2010-06-30,small,1.5606,0.065
001,2010-06-30,medium,1.3026,0.0543
001,2010-06-30,large,2.0119,0.0838
001,2010-07-01,small,0.4043,0.0168
001,2010-07-01,medium,0.2811,0.0117
001,2010-07-01,large,0.4511,0.0188
001,2010-07-02,small,0.9092,0.0379
001,2010-07-02,medium,0.7112,0.0296
001,2010-07-02,large,1.1331,0.0472
001,2010-07-03,small,1.2038,0.0502
001,2010-07-03,medium,0.9753,0.0406
001,2010-07-03,large,1.5333,0.0639
001,2010-07-04,small,1.9391,0.0808
001,2010-07-04,medium,1.6561,0.069
001,2010-07-04,large,2.5103,0.1046
001,2010-07-05,small,3.2073,0.1336
001,2010-07-05,medium,2.8698,0.1196
001,2010-07-05,large,4.1105,0.1713
001,2010-07-06,small,1.1388,0.0474
001,2010-07-06,medium,0.9164,0.0382
001,2010-07-06,large,1.4453,0.0602
001,2010-07-07,small,1.0452,0.0436
001,2010-07-07,medium,0.8323,0.0347
001,2010-07-07,large,1.3183,0.0549
001,2010-07-08,small,1.3286,0.0554
001,2010-07-08,medium,1.089,0.0454
001,2010-07-08,large,1.7016,0.0709
001,2010-07-09,small,0.711,0.0296
001,2010-07-09,medium,0.538,0.0224
001,2010-07-09,large,0.863,0.036
001,2010-07-10,small,0.6797,0.0283
001,2010-07-10,medium,0.511,0.0213
001,2010-07-10,large,0.8204,0.0342
001,2010-07-11,small,1.2484,0.052
001,2010-07-11,medium,1.0158,0.0423
001,2010-07-11,large,1.5935,0.0664
001,2010-07-12,small,0.719,0.03
001,2010-07-12,medium,0.5449,0.0227
001,2010-07-12,large,0.8739,0.0364
001,2010-07-13,small,1.0251,0.0427
001,2010-07-13,medium,0.8142,0.0339
001,2010-07-13,large,1.2909,0.0538
001,2010-07-14,small,8.7658,0.3652
001,2010-07-14,medium,8.3969,0.3499
001,2010-07-14,large,10.258,0.4274
001,2010-07-15,small,0.4153,0.0173
001,2010-07-15,medium,0.29,0.0121
001,2010-07-15,large,0.4655,0.0194
001,2010-07-16,small,3.2426,0.1351
001,2010-07-16,medium,2.904,0.121
001,2010-07-16,large,4.1536,0.1731
001,2010-07-17,small,1.2372,0.0515
001,2010-07-17,medium,1.0055,0.0419
001,2010-07-17,large,1.5784,0.0658
001,2010-07-18,small,1.0151,0.0423
001,2010-07-18,medium,0.8053,0.0336
001,2010-07-18,large,1.2773,0.0532
